game_type,match_number,initial_number,player1_agent,player2_agent,winner,total_moves,player1_computation_time,player2_computation_time
Halving Game,59,12.0,Random AI,Minimax AI,1,5,0.00701594352722168,0.011806964874267578
Halving Game,60,11.0,Random AI,Minimax AI,-1,4,0.0055811405181884766,0.015043973922729492
Halving Game,65,13.0,Random AI,Minimax AI,-1,4,0.021251678466796875,0.006051778793334961
Halving Game,62,20.0,Random AI,Minimax AI,1,5,0.009266138076782227,0.02097296714782715
Halving Game,61,10.0,Random AI,Minimax AI,-1,6,0.0067632198333740234,0.027202367782592773
Halving Game,63,18.0,Random AI,Minimax AI,-1,6,0.015184402465820312,0.0198366641998291
Halving Game,68,17.0,Random AI,Minimax AI,1,5,0.015571355819702148,0.014428377151489258
Halving Game,66,13.0,Random AI,Minimax AI,-1,6,0.023600101470947266,0.014568090438842773
Halving Game,69,13.0,Random AI,Minimax AI,1,5,0.013489246368408203,0.016023874282836914
Halving Game,76,13.0,Random AI,Minimax AI,1,5,0.020897388458251953,0.00984644889831543
Halving Game,64,15.0,Random AI,Minimax AI,-1,8,0.025005102157592773,0.02503800392150879
Halving Game,73,17.0,Random AI,Minimax AI,-1,6,0.023760080337524414,0.014527320861816406
Halving Game,75,14.0,Random AI,Minimax AI,-1,6,0.025080204010009766,0.010790109634399414
Halving Game,70,16.0,Random AI,Minimax AI,1,7,0.013922929763793945,0.02609109878540039
Halving Game,67,15.0,Random AI,Minimax AI,-1,8,0.014479637145996094,0.03342556953430176
Halving Game,71,19.0,Random AI,Minimax AI,-1,8,0.013939857482910156,0.03616166114807129
Halving Game,72,16.0,Random AI,Minimax AI,-1,8,0.019236087799072266,0.03014969825744629
Halving Game,74,10.0,Random AI,Minimax AI,-1,8,0.027927160263061523,0.02580118179321289
Halving Game,79,15.0,Random AI,Minimax AI,-1,6,0.016712665557861328,0.022286415100097656
Halving Game,81,12.0,Random AI,Minimax AI,1,5,0.015588521957397461,0.01738262176513672
Halving Game,80,16.0,Random AI,Minimax AI,-1,6,0.015391349792480469,0.024602413177490234
Halving Game,77,18.0,Random AI,Minimax AI,-1,8,0.027123212814331055,0.018718957901000977
Halving Game,82,12.0,Random AI,Minimax AI,-1,6,0.015588521957397461,0.025434255599975586
Halving Game,88,11.0,Random AI,Minimax AI,-1,4,0.017193078994750977,0.012813091278076172
Halving Game,78,18.0,Random AI,Minimax AI,-1,8,0.030471324920654297,0.021315336227416992
Halving Game,91,11.0,Random AI,Minimax AI,-1,4,0.018475055694580078,0.009952068328857422
Halving Game,83,20.0,Random AI,Minimax AI,-1,8,0.021660804748535156,0.029979705810546875
Halving Game,93,13.0,Random AI,Minimax AI,-1,4,0.007942914962768555,0.014433145523071289
Halving Game,92,20.0,Random AI,Minimax AI,1,5,0.014064788818359375,0.014595508575439453
Halving Game,90,18.0,Random AI,Minimax AI,-1,6,0.017712116241455078,0.017715930938720703
Halving Game,84,16.0,Random AI,Minimax AI,-1,8,0.023288726806640625,0.024247407913208008
Halving Game,85,17.0,Random AI,Minimax AI,-1,8,0.02323746681213379,0.024298667907714844
Halving Game,87,20.0,Random AI,Minimax AI,-1,8,0.022283554077148438,0.025912046432495117
Halving Game,98,11.0,Random AI,Minimax AI,-1,4,0.00827789306640625,0.009911537170410156
Halving Game,86,11.0,Random AI,Minimax AI,1,9,0.03733181953430176,0.020522594451904297
Halving Game,95,12.0,Random AI,Minimax AI,-1,6,0.01763296127319336,0.01836109161376953
Halving Game,97,20.0,Random AI,Minimax AI,-1,6,0.017542600631713867,0.018157005310058594
Halving Game,101,11.0,Random AI,Minimax AI,-1,4,0.013580560684204102,0.010985612869262695
Halving Game,99,14.0,Random AI,Minimax AI,-1,6,0.0208740234375,0.016663789749145508
Halving Game,89,19.0,Random AI,Minimax AI,-1,10,0.024852991104125977,0.03676772117614746
Halving Game,94,15.0,Random AI,Minimax AI,-1,8,0.02198338508605957,0.024571657180786133
Halving Game,103,11.0,Random AI,Minimax AI,-1,4,0.010985612869262695,0.013011932373046875
Halving Game,100,15.0,Random AI,Minimax AI,-1,6,0.02057957649230957,0.014067411422729492
Halving Game,96,20.0,Random AI,Minimax AI,1,9,0.03126335144042969,0.028073787689208984
Halving Game,107,20.0,Random AI,Minimax AI,1,5,0.01707625389099121,0.01865553855895996
Halving Game,105,20.0,Random AI,Minimax AI,-1,6,0.022770166397094727,0.014631986618041992
Halving Game,106,19.0,Random AI,Minimax AI,-1,6,0.026913166046142578,0.011498689651489258
Halving Game,116,11.0,Random AI,Minimax AI,-1,4,0.017067432403564453,0.008420944213867188
Halving Game,104,20.0,Random AI,Minimax AI,-1,8,0.023028135299682617,0.026457786560058594
Halving Game,110,11.0,Random AI,Minimax AI,-1,6,0.021049022674560547,0.013997554779052734
Halving Game,111,19.0,Random AI,Minimax AI,-1,6,0.010595321655273438,0.020704269409179688
Halving Game,112,13.0,Random AI,Minimax AI,-1,6,0.011976003646850586,0.01932358741760254
Halving Game,119,11.0,Random AI,Minimax AI,-1,4,0.008601903915405273,0.004476070404052734
Halving Game,109,19.0,Random AI,Minimax AI,-1,8,0.010490179061889648,0.04729008674621582
Halving Game,108,18.0,Random AI,Minimax AI,-1,8,0.023975610733032227,0.04245257377624512
Halving Game,102,12.0,Random AI,Minimax AI,-1,10,0.01952362060546875,0.05076956748962402
Halving Game,114,14.0,Random AI,Minimax AI,-1,6,0.016299724578857422,0.03129458427429199
Halving Game,117,13.0,Random AI,Minimax AI,-1,6,0.03580927848815918,0.007133007049560547
Halving Game,118,17.0,Random AI,Minimax AI,-1,6,0.016141414642333984,0.035964250564575195
Halving Game,115,19.0,Random AI,Minimax AI,-1,8,0.02977895736694336,0.03711509704589844
Halving Game,122,13.0,Random AI,Minimax AI,-1,4,0.011899709701538086,0.028502464294433594
Halving Game,113,16.0,Random AI,Minimax AI,-1,8,0.018940448760986328,0.04795360565185547
Halving Game,120,12.0,Random AI,Minimax AI,-1,6,0.03454399108886719,0.016932249069213867
Halving Game,121,15.0,Random AI,Minimax AI,-1,6,0.04576683044433594,0.00469970703125
Halving Game,127,12.0,Random AI,Minimax AI,-1,4,0.019299745559692383,0.019098520278930664
Halving Game,129,10.0,Random AI,Minimax AI,-1,4,0.007167816162109375,0.023667097091674805
Halving Game,125,11.0,Random AI,Minimax AI,-1,6,0.030248165130615234,0.02219247817993164
Halving Game,126,14.0,Random AI,Minimax AI,-1,6,0.031728267669677734,0.022783994674682617
Halving Game,128,17.0,Random AI,Minimax AI,-1,6,0.01410984992980957,0.022783994674682617
Halving Game,130,15.0,Random AI,Minimax AI,-1,6,0.010444879531860352,0.02760791778564453
Halving Game,133,10.0,Random AI,Minimax AI,-1,4,0.006208181381225586,0.011064767837524414
Halving Game,131,17.0,Random AI,Minimax AI,-1,6,0.022783994674682617,0.02264237403869629
Halving Game,123,20.0,Random AI,Minimax AI,-1,8,0.026793718338012695,0.03973507881164551
Halving Game,132,17.0,Random AI,Minimax AI,-1,6,0.02968287467956543,0.015743494033813477
Halving Game,139,11.0,Random AI,Minimax AI,-1,4,0.013995885848999023,0.0121307373046875
Halving Game,135,12.0,Random AI,Minimax AI,1,5,0.017097949981689453,0.01128840446472168
Halving Game,138,17.0,Random AI,Minimax AI,1,5,0.027547359466552734,0.0121307373046875
Halving Game,136,13.0,Random AI,Minimax AI,-1,6,0.01916956901550293,0.02617049217224121
Halving Game,124,20.0,Random AI,Minimax AI,-1,10,0.04287457466125488,0.04407167434692383
Halving Game,140,12.0,Random AI,Minimax AI,1,5,0.0175778865814209,0.019931793212890625
Halving Game,134,19.0,Random AI,Minimax AI,-1,8,0.02125716209411621,0.03471040725708008
Halving Game,137,10.0,Random AI,Minimax AI,-1,8,0.030487537384033203,0.025480031967163086
Halving Game,142,18.0,Random AI,Minimax AI,-1,6,0.030134916305541992,0.009718656539916992
Halving Game,143,17.0,Random AI,Minimax AI,-1,6,0.028432607650756836,0.013711214065551758
Halving Game,144,14.0,Random AI,Minimax AI,-1,6,0.016191720962524414,0.030899524688720703
Halving Game,147,19.0,Random AI,Minimax AI,-1,6,0.008585453033447266,0.03010845184326172
Halving Game,149,14.0,Random AI,Minimax AI,-1,6,0.02463507652282715,0.016194581985473633
Halving Game,141,17.0,Random AI,Minimax AI,-1,8,0.03333902359008789,0.023064136505126953
Halving Game,151,10.0,Random AI,Minimax AI,-1,6,0.015173912048339844,0.018611431121826172
Halving Game,145,16.0,Random AI,Minimax AI,-1,8,0.021215438842773438,0.03597831726074219
Halving Game,152,13.0,Random AI,Minimax AI,-1,6,0.007929325103759766,0.0224761962890625
Halving Game,154,13.0,Random AI,Minimax AI,-1,6,0.02042245864868164,0.007758378982543945
Halving Game,148,19.0,Random AI,Minimax AI,-1,8,0.028142929077148438,0.02248692512512207
Halving Game,146,19.0,Random AI,Minimax AI,-1,8,0.01599597930908203,0.03512239456176758
Halving Game,150,17.0,Random AI,Minimax AI,-1,8,0.034195899963378906,0.016697168350219727
Halving Game,158,16.0,Random AI,Minimax AI,1,5,0.016478538513183594,0.009029150009155273
Halving Game,155,11.0,Random AI,Minimax AI,-1,6,0.01031804084777832,0.017479896545410156
Halving Game,153,16.0,Random AI,Minimax AI,-1,8,0.015008926391601562,0.022212505340576172
Halving Game,157,17.0,Random AI,Minimax AI,-1,6,0.018639087677001953,0.01203775405883789
Halving Game,156,15.0,Random AI,Minimax AI,-1,8,0.02498650550842285,0.016900062561035156
Halving Game,161,12.0,Random AI,Minimax AI,-1,6,0.022159814834594727,0.009464263916015625
Halving Game,162,16.0,Random AI,Minimax AI,-1,6,0.018642902374267578,0.009491920471191406
Halving Game,163,18.0,Random AI,Minimax AI,-1,6,0.006381988525390625,0.024616479873657227
Halving Game,159,17.0,Random AI,Minimax AI,-1,8,0.009914875030517578,0.03073596954345703
Halving Game,160,19.0,Random AI,Minimax AI,-1,8,0.01451563835144043,0.02567887306213379
Halving Game,165,14.0,Random AI,Minimax AI,-1,6,0.007138967514038086,0.022130489349365234
Halving Game,166,12.0,Random AI,Minimax AI,-1,6,0.01119375228881836,0.01807570457458496
Halving Game,168,11.0,Random AI,Minimax AI,-1,6,0.02243781089782715,0.009190559387207031
Halving Game,164,19.0,Random AI,Minimax AI,-1,8,0.007477283477783203,0.027063608169555664
Halving Game,169,18.0,Random AI,Minimax AI,-1,6,0.02108168601989746,0.010305643081665039
Halving Game,167,17.0,Random AI,Minimax AI,1,7,0.028658151626586914,0.009668350219726562
Halving Game,170,15.0,Random AI,Minimax AI,-1,6,0.012824058532714844,0.021820068359375
Halving Game,173,17.0,Random AI,Minimax AI,-1,6,0.024338483810424805,0.0077359676361083984
Halving Game,172,12.0,Random AI,Minimax AI,-1,6,0.022014379501342773,0.012938976287841797
Halving Game,175,12.0,Random AI,Minimax AI,1,5,0.02003312110900879,0.008047342300415039
Halving Game,174,16.0,Random AI,Minimax AI,-1,6,0.02137470245361328,0.010530710220336914
Halving Game,176,15.0,Random AI,Minimax AI,-1,6,0.013169288635253906,0.022260665893554688
Halving Game,177,15.0,Random AI,Minimax AI,-1,6,0.011675596237182617,0.021567106246948242
Halving Game,178,19.0,Random AI,Minimax AI,-1,6,0.011684894561767578,0.022008180618286133
Halving Game,179,11.0,Random AI,Minimax AI,-1,6,0.010489940643310547,0.02391338348388672
Halving Game,184,11.0,Random AI,Minimax AI,1,5,0.02313089370727539,0.005620718002319336
Halving Game,171,20.0,Random AI,Minimax AI,-1,10,0.028910398483276367,0.027650117874145508
Halving Game,182,19.0,Random AI,Minimax AI,-1,6,0.0233004093170166,0.009423971176147461
Halving Game,185,19.0,Random AI,Minimax AI,-1,6,0.010248422622680664,0.022434711456298828
Halving Game,180,16.0,Random AI,Minimax AI,-1,8,0.020600080490112305,0.024156808853149414
Halving Game,181,16.0,Random AI,Minimax AI,1,7,0.02572178840637207,0.01903510093688965
Halving Game,187,19.0,Random AI,Minimax AI,-1,6,0.022165775299072266,0.010723590850830078
Halving Game,183,19.0,Random AI,Minimax AI,-1,8,0.02873516082763672,0.013703346252441406
Halving Game,186,16.0,Random AI,Minimax AI,-1,8,0.012163877487182617,0.02230358123779297
Halving Game,194,10.0,Random AI,Minimax AI,-1,4,0.005876779556274414,0.007891178131103516
Halving Game,188,10.0,Random AI,Minimax AI,-1,8,0.022686481475830078,0.011780977249145508
Halving Game,190,17.0,Random AI,Minimax AI,-1,6,0.013210058212280273,0.009324312210083008
Halving Game,192,16.0,Random AI,Minimax AI,-1,6,0.006463527679443359,0.012598276138305664
Halving Game,193,18.0,Random AI,Minimax AI,-1,6,0.004725933074951172,0.013332366943359375
Halving Game,189,18.0,Random AI,Minimax AI,-1,8,0.01698780059814453,0.013117790222167969
Halving Game,200,11.0,Random AI,Minimax AI,-1,4,0.005991697311401367,0.0
Halving Game,196,11.0,Random AI,Minimax AI,-1,6,0.012373685836791992,0.005078554153442383
Halving Game,198,15.0,Random AI,Minimax AI,-1,6,0.0040204524993896484,0.005991697311401367
Halving Game,191,18.0,Random AI,Minimax AI,-1,8,0.010336160659790039,0.013431787490844727
Halving Game,197,11.0,Random AI,Minimax AI,-1,6,0.012329339981079102,0.003851175308227539
Halving Game,195,18.0,Random AI,Minimax AI,-1,8,0.006888628005981445,0.011471271514892578
Halving Game,199,20.0,Random AI,Minimax AI,-1,6,0.006994485855102539,0.0010118484497070312
Halving Game,1,20.0,Minimax AI,Minimax AI,1,7,0.03226757049560547,0.03192901611328125
Halving Game,3,10.0,Minimax AI,Minimax AI,-1,4,0.023209095001220703,0.030929088592529297
Halving Game,6,17.0,Minimax AI,Minimax AI,1,5,0.026721715927124023,0.026514530181884766
Halving Game,5,11.0,Minimax AI,Minimax AI,1,5,0.033246755599975586,0.02541804313659668
Halving Game,10,12.0,Minimax AI,Minimax AI,1,5,0.03133654594421387,0.01300668716430664
Halving Game,4,14.0,Minimax AI,Minimax AI,-1,6,0.03573489189147949,0.03099966049194336
Halving Game,12,12.0,Minimax AI,Minimax AI,1,5,0.034564971923828125,0.019034624099731445
Halving Game,9,12.0,Minimax AI,Minimax AI,1,5,0.04408597946166992,0.016518354415893555
Halving Game,8,10.0,Minimax AI,Minimax AI,-1,6,0.03800487518310547,0.028299331665039062
Halving Game,13,13.0,Minimax AI,Minimax AI,1,5,0.030613183975219727,0.0240938663482666
Halving Game,15,12.0,Minimax AI,Minimax AI,1,5,0.03312873840332031,0.02226567268371582
Halving Game,2,18.0,Minimax AI,Minimax AI,-1,8,0.05934500694274902,0.04106545448303223
Halving Game,14,14.0,Minimax AI,Minimax AI,-1,6,0.028868913650512695,0.03577589988708496
